time p temp
1696 0 96.6745
1697 0 96.66671
1698 0 96.65893
1699 0 96.651146
1700 0 96.643364
1701 0 96.63558
1702 0 96.6278
1703 0 96.62002
1704 0 96.612236
1705 0 96.604454
1706 0 96.59667
1707 0 96.58889
1708 0 96.581116
1709 0 96.57334
1710 0 96.56557
1711 0 96.55779
1712 0 96.55002
1713 0 96.542244
1714 0 96.53447
1715 0 96.526695
1716 0 96.51892
1717 0 96.511154
1718 0 96.50339
1719 0 96.49562
1720 0 96.487854
1721 0 96.48009
1722 0 96.47232
1723 0 96.464554
1724 0 96.45679
1725 0 96.44902
1726 0 96.44125
1727 0 96.433495
1728 0 96.425735
1729 0 96.41798
1730 0 96.41022
1731 0 96.40246
1732 0 96.3947
1733 0 96.38694
1734 0 96.37918
1735 0 96.37142
1736 0 96.36366
1737 0 96.35591
1738 0 96.34816
1739 0 96.34041
1740 0 96.33266
1741 0 96.324905
1742 0 96.317154
1743 0 96.3094
1744 0 96.30165
1745 0 96.2939
1746 0 96.286156
1747 0 96.27841
1748 0 96.27067
1749 0 96.262924
1750 0 96.25518
1751 0 96.24744
1752 0 96.23969
1753 0 96.23195
1754 0 96.224205
1755 0 96.21646
1756 0 96.208725
1757 0 96.20099
1758 0 96.19325
1759 0 96.18552
1760 0 96.17778
1761 0 96.170044
1762 0 96.16231
1763 0 96.15457
1764 0 96.146835
1765 0 96.1391
1766 0 96.13137
1767 0 96.12364
1768 0 96.11591
1769 0 96.108185
1770 0 96.10046
1771 0 96.09273
1772 0 96.085
1773 0 96.07727
1774 0 96.06954
1775 0 96.06181
1776 0 96.05409
1777 0 96.04637
1778 0 96.03865
1779 0 96.03093
1780 0 96.02321
1781 0 96.01549
1782 0 96.00777
1783 0 96.000046
1784 0 95.992325
1785 0 95.98461
1786 0 95.9769
1787 0 95.969185
1788 0 95.96147
1789 0 95.95376
1790 0 95.946045
1791 0 95.93833
1792 0 95.93062
1793 0 95.922905
1794 0 95.91519
1795 0 95.907486
1796 0 95.89978
1797 0 95.892075
1798 0 95.88437
1799 0 95.87666
1800 0 95.86896
