time,output,temp
562,359,63.451862
563,355,63.53014
564,351,63.60841
565,347,63.686672
566,343,63.764927
567,339,63.843174
568,335,63.921413
569,331,63.99964
570,327,64.077866
571,323,64.15608
572,319,64.23429
573,315,64.31249
574,311,64.390686
575,307,64.468864
576,303,64.547035
577,299,64.6252
578,295,64.703354
579,291,64.7815
580,287,64.85964
581,283,64.937775
582,279,65.0159
583,275,65.09402
584,271,65.17213
585,267,65.25023
586,263,65.32832
587,259,65.40641
588,255,65.48449
589,251,65.56256
590,247,65.640594
591,243,65.71857
592,239,65.79644
593,235,65.87419
594,231,65.95179
595,227,66.029205
596,223,66.106415
597,219,66.18339
598,215,66.26009
599,211,66.3365
600,207,66.41258
601,204,66.48831
602,200,66.56367
603,196,66.63862
604,192,66.713135
605,188,66.78719
606,184,66.860756
607,180,66.9338
608,176,67.006294
609,173,67.07822
610,169,67.149536
611,166,67.22023
612,162,67.290276
613,158,67.35964
614,155,67.42831
615,151,67.49625
616,148,67.56342
617,144,67.62982
618,141,67.69542
619,138,67.760185
620,134,67.824104
621,131,67.887146
622,127,67.94929
623,124,68.0105
624,121,68.070755
625,118,68.13004
626,115,68.18834
627,112,68.24562
628,109,68.301865
629,106,68.35705
630,103,68.411156
631,100,68.464165
632,97,68.51605
633,95,68.566795
634,92,68.61638
635,90,68.66481
636,87,68.712105
637,85,68.75827
638,82,68.80332
639,80,68.84727
640,78,68.89012
641,75,68.93189
642,73,68.972595
643,71,69.012245
644,69,69.05085
645,67,69.088425
646,65,69.12499
647,63,69.16055
648,61,69.19512
649,59,69.228714
650,58,69.261345
651,56,69.29304
652,54,69.3238
653,53,69.35365
654,51,69.382614
655,49,69.4107
656,48,69.43791
657,47,69.46427
658,45,69.4898
659,44,69.51451
660,43,69.53842
661,41,69.561554
662,40,69.58391
663,39,69.605515
664,38,69.62638
665,37,69.64653
666,36,69.66598
667,35,69.68474
668,34,69.702835
669,33,69.720276
670,32,69.73708
671,31,69.753265
672,30,69.768845
673,29,69.78383
674,29,69.79824
675,28,69.812096
676,27,69.82541
677,26,69.83819
678,26,69.85046
679,25,69.86223
680,24,69.87351
681,24,69.88432
682,23,69.89468
683,23,69.90459
684,22,69.91407
685,22,69.923134
686,21,69.93179
687,21,69.94006
688,20,69.94795
689,20,69.955475
690,19,69.96265
691,19,69.96947
692,19,69.97596
693,18,69.98213
694,18,69.98799
695,18,69.99356
696,17,69.99884
697,17,70.00384
698,17,70.00857
699,17,70.01304
700,16,70.017265
701,16,70.02125
702,16,70.025
703,16,70.028534
704,16,70.03185
705,15,70.03497
706,15,70.03789
707,15,70.04062
708,15,70.04317
709,14,70.04554
710,14,70.047745
711,14,70.04978
712,14,70.05166
713,14,70.05338
714,14,70.05496
715,14,70.056404
716,14,70.05772
717,14,70.05891
718,14,70.05998
719,14,70.06095
720,14,70.06181
721,13,70.06258
722,13,70.06323
723,13,70.0638
724,13,70.06427
725,13,70.06466
726,13,70.064964
727,13,70.06519
728,13,70.065346
729,13,70.06543
730,13,70.065445
731,13,70.0654
732,13,70.06529
733,13,70.06513
734,13,70.06492
735,13,70.06466
736,13,70.064354
737,13,70.064
738,13,70.063614
739,13,70.06319
740,13,70.06272
741,13,70.06222
742,13,70.06169
743,13,70.061134
744,13,70.06055
745,13,70.05993
746,14,70.05929
747,14,70.05864
748,14,70.057976
749,14,70.0573
750,14,70.0566
751,14,70.0559
752,14,70.05519
753,14,70.054474
754,14,70.05375
755,14,70.053024
756,14,70.0523
757,14,70.051575
758,14,70.05085
759,14,70.050125
760,14,70.0494
761,14,70.048676
762,14,70.04795
763,14,70.047226
764,14,70.0465
765,14,70.04578
766,14,70.04505
767,14,70.044334
768,14,70.043625
769,14,70.04292
770,14,70.04223
771,14,70.04154
772,14,70.04086
773,14,70.04019
774,14,70.03953
775,15,70.03887
776,15,70.03823
777,15,70.037605
778,15,70.036995
779,15,70.03639
780,15,70.035805
781,15,70.03523
782,15,70.034676
783,15,70.034134
784,15,70.03361
785,15,70.0331
786,15,70.0326
787,15,70.03212
788,15,70.031654
789,15,70.0312
790,15,70.030754
791,15,70.03033
792,15,70.02991
793,15,70.029495
794,16,70.02909
795,16,70.0287
796,16,70.02833
797,16,70.02797
798,16,70.027626
799,16,70.0273
800,16,70.02698
801,16,70.02667
802,16,70.02638
803,16,70.02611
804,16,70.02585
805,16,70.025604
806,16,70.025375
807,16,70.02516
808,16,70.02496
809,16,70.02477
810,16,70.0246
811,16,70.02444
812,16,70.02429
813,16,70.02416
814,16,70.02405
815,16,70.02395
816,16,70.023865
817,16,70.023796
818,16,70.023735
819,16,70.02369
820,16,70.02366
821,16,70.023636
822,16,70.02362
823,16,70.02361
824,16,70.02361
825,16,70.02362
826,16,70.023636
827,16,70.02366
828,16,70.02369
829,16,70.02373
830,16,70.02377
831,16,70.02383
832,16,70.02389
833,16,70.02396
834,16,70.024025
835,16,70.0241
836,16,70.024185
837,16,70.02428
838,16,70.024376
839,16,70.02448
840,16,70.02459
841,16,70.0247
842,16,70.0248
843,16,70.02491
844,16,70.02502
845,16,70.02512
846,16,70.02523
847,16,70.02534
848,16,70.025444
849,16,70.02555
850,16,70.02566
851,16,70.025764
852,16,70.02587
853,16,70.02598
854,16,70.026085
855,16,70.02619
856,16,70.0263
857,16,70.026405
858,16,70.02651
859,16,70.02662
860,16,70.026726
861,16,70.02683
862,16,70.02694
863,16,70.02705
864,16,70.02715
865,15,70.02726
866,15,70.02736
867,15,70.02745
868,15,70.027534
869,15,70.02761
870,15,70.02768
871,15,70.02774
872,15,70.0278
873,15,70.027855
874,15,70.0279
875,15,70.02794
876,15,70.02797
877,15,70.02799
878,15,70.02801
879,15,70.028015
880,15,70.028015
881,15,70.02801
882,15,70.02799
883,15,70.02797
884,15,70.02794
885,15,70.0279
886,15,70.027855
887,15,70.0278
888,15,70.02774
889,15,70.02767
890,15,70.0276
891,15,70.02753
892,15,70.02744
893,15,70.02735
894,15,70.02725
895,15,70.027145
896,15,70.02703
897,15,70.02691
898,15,70.02678
899,15,70.02664
900,15,70.0265
901,15,70.026344
902,15,70.026184
903,15,70.02602
904,15,70.02584
905,15,70.02566
906,15,70.02547
907,15,70.025276
908,15,70.02508
909,15,70.02487
910,15,70.02466
911,15,70.024445
912,15,70.02423
913,15,70.02402
914,15,70.0238
915,15,70.02359
916,15,70.02338
917,15,70.02316
918,15,70.02295
919,15,70.022736
920,15,70.02252
921,15,70.02231
922,15,70.022095
923,15,70.02188
924,15,70.02167
925,15,70.021454
926,15,70.02124
927,15,70.02103
928,15,70.02081
929,15,70.0206
930,15,70.020386
931,15,70.02017
932,15,70.01996
933,16,70.019745
934,16,70.01954
935,16,70.01934
936,16,70.01915
937,16,70.01897
938,16,70.01879
939,16,70.018616
940,16,70.01845
941,16,70.01829
942,16,70.018135
943,16,70.01799
944,16,70.01785
945,16,70.01772
946,16,70.0176
947,16,70.01749
948,16,70.01738
949,16,70.01728
950,16,70.01719
951,16,70.017105
952,16,70.01703
953,16,70.01696
954,16,70.0169
955,16,70.016846
956,16,70.0168
957,16,70.016754
958,16,70.016716
959,16,70.016685
960,16,70.01666
961,16,70.01665
962,16,70.01664
963,16,70.01664
964,16,70.01665
965,16,70.01666
966,16,70.016685
967,16,70.016716
968,16,70.016754
969,16,70.0168
970,16,70.01685
971,16,70.016914
972,16,70.01698
973,16,70.01706
974,16,70.01714
975,16,70.01723
976,16,70.01732
977,16,70.01742
978,16,70.017525
979,16,70.01763
980,16,70.01774
981,16,70.017845
982,16,70.01795
983,16,70.01806
984,16,70.018166
985,16,70.01827
986,16,70.01838
987,16,70.018486
988,16,70.01859
989,16,70.0187
990,16,70.01881
991,16,70.01891
992,16,70.01902
993,16,70.01913
994,16,70.01923
995,16,70.01934
996,16,70.01945
997,16,70.019554
998,16,70.01966
999,1024,70.01977
1000,1024,70.0216
1001,1024,70.025154
1002,1024,70.030426
1003,1024,70.03742
1004,1024,70.04614
1005,1024,70.05658
1006,1024,70.06874
1007,1024,70.08263
1008,1024,70.09823
1009,1024,70.115555
1010,1024,70.1346
1011,1024,70.155365
1012,1024,70.17785
1013,1024,70.20206
1014,1024,70.22798
1015,1024,70.25562
1016,1024,70.28499
1017,1024,70.31607
1018,1024,70.34887
1019,1024,70.38339
1020,1024,70.41963
1021,1024,70.45759
1022,1024,70.49726
1023,1024,70.53866
1024,1024,70.58177
1025,1024,70.6266
1026,1024,70.67315
1027,1024,70.72141
1028,1024,70.77139
1029,1024,70.82309
1030,1024,70.87651
1031,1024,70.93165
1032,1024,70.9885
1033,1024,71.04707
1034,1024,71.10735
1035,1024,71.16935
1036,1024,71.23306
1037,1024,71.29849
1038,1024,71.36564
1039,1024,71.4345
1040,1024,71.50508
1041,1024,71.57738
1042,1024,71.65138
1043,1024,71.727104
1044,1024,71.80454
1045,1024,71.88197
1046,1024,71.9594
1047,1024,72.03681
1048,1024,72.11422
1049,1024,72.19162
1050,1024,72.26901
1051,1024,72.3464
1052,1024,72.423775
1053,1024,72.501144
1054,1024,72.57851
1055,1024,72.65586
1056,1024,72.7332
1057,1024,72.81053
1058,1024,72.887856
1059,1024,72.96517
1060,1024,73.04248
1061,1024,73.11978
1062,1024,73.197075
1063,1024,73.27436
1064,1024,73.35164
1065,1024,73.42891
1066,1024,73.50617
1067,1024,73.58343
1068,1024,73.660675
1069,1024,73.737915
1070,1024,73.81515
1071,1024,73.89237
1072,1024,73.96959
1073,1024,74.0468
1074,1024,74.124
1075,1024,74.201195
1076,1024,74.27838
1077,1024,74.35556
1078,1024,74.43273
1079,1024,74.509895
1080,1024,74.58705
1081,1024,74.6642
1082,1024,74.74134
1083,1024,74.818474
1084,1024,74.8956
1085,1024,74.97272
1086,1024,75.04983
1087,1024,75.12693
1088,1024,75.204025
1089,1024,75.28111
1090,1024,75.35819
1091,1024,75.435265
1092,1024,75.51232
1093,1024,75.58937
1094,1024,75.66641
1095,1024,75.74345
1096,1024,75.82047
1097,1024,75.89749
1098,1024,75.9745
1099,1024,76.051506
1100,1024,76.1285
1101,1024,76.20549
1102,1024,76.28247
1103,1024,76.35944
1104,1024,76.43641
1105,1024,76.51337
1106,1024,76.59032
1107,1024,76.66726
1108,1024,76.744194
1109,1024,76.82112
1110,1024,76.89804
1111,1024,76.97495
1112,1024,77.05186
1113,1024,77.12875
1114,1024,77.20564
1115,1024,77.282524
1116,1024,77.3594
1117,1024,77.436264
1118,1024,77.51312
1119,1024,77.58997
1120,1024,77.66682
1121,1024,77.74365
1122,1024,77.82048
1123,1024,77.8973
1124,1024,77.97411
1125,1024,78.05092
1126,1024,78.127716
1127,1024,78.204506
1128,1024,78.28129
1129,1024,78.35806
1130,1024,78.43483
1131,1024,78.51159
1132,1024,78.58834
1133,1024,78.665085
1134,1024,78.74181
1135,1024,78.818535
1136,1024,78.89525
1137,1024,78.971954
1138,1024,79.04865
1139,1024,79.12534
1140,1024,79.20203
1141,1024,79.2787
1142,1024,79.35537
1143,1024,79.43203
1144,1024,79.50868
1145,1024,79.58533
1146,1024,79.661964
1147,1024,79.738594
1148,1024,79.815216
1149,1024,79.89183
1150,1024,79.96844
1151,1024,80.04504
1152,1024,80.12163
1153,1024,80.19821
1154,1024,80.27479
1155,1024,80.35136
1156,1024,80.42792
1157,1024,80.50447
1158,1022,80.58102
1159,1018,80.657555
1160,1014,80.734085
1161,1011,80.81061
1162,1007,80.88712
1163,1003,80.96363
1164,999,81.04013
1165,995,81.11662
1166,991,81.19311
1167,987,81.269585
1168,983,81.346054
1169,980,81.422516
1170,975,81.49897
1171,972,81.57542
1172,968,81.651855
1173,964,81.72829
1174,960,81.80471
1175,956,81.88113
1176,952,81.957535
1177,948,82.033936
1178,944,82.11033
1179,940,82.186714
1180,936,82.26309
1181,933,82.33946
1182,929,82.415825
1183,925,82.49218
1184,921,82.56853
1185,917,82.64487
1186,913,82.7212
1187,909,82.79752
1188,905,82.87383
1189,902,82.950134
1190,898,83.02643
1191,894,83.102715
1192,890,83.17899
1193,886,83.255264
1194,882,83.33153
1195,878,83.40778
1196,874,83.48403
1197,871,83.56027
1198,866,83.636505
1199,862,83.71273
1200,859,83.78895
1201,855,83.86516
1202,851,83.94136
1203,847,84.017555
1204,843,84.09374
1205,839,84.16992
1206,835,84.24609
1207,832,84.32226
1208,828,84.398415
1209,824,84.47456
1210,820,84.550705
1211,816,84.62684
1212,812,84.702965
1213,808,84.77908
1214,804,84.855194
1215,801,84.9313
1216,797,85.00739
1217,793,85.08348
1218,789,85.15956
1219,785,85.235634
1220,781,85.3117
1221,777,85.38776
1222,773,85.463806
1223,770,85.53985
1224,766,85.61588
1225,762,85.69191
1226,758,85.76793
1227,754,85.84394
1228,750,85.919945
1229,746,85.99594
1230,743,86.07193
1231,738,86.14791
1232,734,86.223885
1233,731,86.29985
1234,727,86.37581
1235,723,86.45176
1236,719,86.5277
1237,715,86.60364
1238,711,86.679565
1239,707,86.755486
1240,704,86.8314
1241,700,86.9073
1242,696,86.9832
1243,692,87.05909
1244,688,87.13497
1245,684,87.210846
1246,680,87.28671
1247,676,87.36257
1248,673,87.43842
1249,669,87.51427
1250,665,87.5901
1251,661,87.66593
1252,657,87.74175
1253,653,87.817566
1254,649,87.89337
1255,646,87.96917
1256,642,88.04496
1257,638,88.12074
1258,634,88.19652
1259,630,88.272285
1260,626,88.348045
1261,622,88.4238
1262,619,88.49954
1263,615,88.57528
1264,611,88.65101
1265,607,88.72673
1266,603,88.802444
1267,599,88.87815
1268,595,88.95385
1269,591,89.02954
1270,587,89.105225
1271,584,89.1809
1272,580,89.25657
1273,576,89.33223
1274,572,89.40788
1275,568,89.48353
1276,564,89.55916
1277,560,89.63478
1278,557,89.710396
1279,553,89.786
1280,549,89.8616
1281,545,89.937195
1282,541,90.01278
1283,537,90.088356
1284,533,90.163925
1285,530,90.23949
1286,526,90.31504
1287,522,90.39059
1288,518,90.466125
1289,514,90.54166
1290,510,90.61718
1291,506,90.692696
1292,503,90.7682
1293,499,90.843704
1294,495,90.9192
1295,491,90.99468
1296,487,91.07016
1297,483,91.14563
1298,479,91.22109
1299,476,91.29655
1300,472,91.371994
1301,468,91.44743
1302,464,91.522865
1303,460,91.59829
1304,456,91.673706
1305,453,91.749115
1306,449,91.82452
1307,445,91.89991
1308,441,91.975296
1309,437,92.050674
1310,433,92.126045
1311,429,92.20141
1312,425,92.276764
1313,421,92.35211
1314,418,92.42745
1315,414,92.502785
1316,410,92.57811
1317,406,92.65343
1318,402,92.72874
1319,398,92.80404
1320,395,92.87933
1321,391,92.95462
1322,387,93.0299
1323,383,93.10517
1324,379,93.180435
1325,375,93.25569
1326,371,93.33094
1327,368,93.40618
1328,364,93.481415
1329,360,93.55664
1330,356,93.63186
1331,352,93.70707
1332,348,93.78227
1333,345,93.85747
1334,341,93.932655
1335,337,94.007835
1336,333,94.08301
1337,329,94.15817
1338,325,94.23333
1339,322,94.30848
1340,318,94.38362
1341,314,94.458755
1342,310,94.53388
1343,306,94.609
1344,302,94.68411
1345,299,94.75922
1346,295,94.83431
1347,291,94.9094
1348,287,94.98448
1349,283,95.059555
1350,279,95.13462
1351,276,95.20968
1352,272,95.28473
1353,268,95.35977
1354,264,95.43481
1355,260,95.509834
1356,256,95.584854
1357,253,95.65987
1358,249,95.734856
1359,245,95.8098
1360,241,95.88466
1361,237,95.95941
1362,233,96.03403
1363,230,96.108475
1364,226,96.18274
1365,222,96.25678
1366,218,96.33058
1367,214,96.404106
1368,210,96.47733
1369,207,96.550224
1370,203,96.622765
1371,199,96.69492
1372,196,96.76667
1373,192,96.83798
1374,188,96.90884
1375,185,96.979195
1376,181,97.04904
1377,178,97.118355
1378,174,97.1871
1379,170,97.255264
1380,167,97.3228
1381,163,97.389694
1382,160,97.455925
1383,157,97.52146
1384,153,97.58628
1385,150,97.65036
1386,146,97.71368
1387,143,97.7762
1388,140,97.83791
1389,137,97.89879
1390,134,97.95881
1391,131,98.01795
1392,128,98.076195
1393,124,98.133514
1394,121,98.18989
1395,118,98.24529
1396,116,98.2997
1397,113,98.353096
1398,110,98.40547
1399,107,98.456795
1400,105,98.50704
1401,102,98.556206
1402,100,98.60426
1403,97,98.651215
1404,94,98.69707
1405,92,98.74182
1406,90,98.7855
1407,87,98.82812
1408,85,98.869675
1409,83,98.91019
1410,81,98.94966
1411,79,98.98811
1412,77,99.025566
1413,75,99.06203
1414,73,99.09751
1415,71,99.13203
1416,69,99.16558
1417,67,99.1982
1418,66,99.22988
1419,64,99.26066
1420,63,99.290535
1421,61,99.31953
1422,59,99.34766
1423,58,99.37492
1424,57,99.40135
1425,55,99.42696
1426,54,99.45177
1427,53,99.47578
1428,51,99.499016
1429,50,99.52149
1430,49,99.54322
1431,48,99.56422
1432,47,99.58451
1433,46,99.60411
1434,45,99.62303
1435,44,99.64128
1436,43,99.65888
1437,42,99.67585
1438,41,99.69219
1439,40,99.70794
1440,39,99.7231
